GRB,z,NH(z),Γ,NH(Gal),Time-interval,Obs. mode,,,Γnew,Nnew(z),Nnew(Gal)
050318,1.44,,1.94 ± 0.09,1.87,3000−7 × 104,PC(23.4),,1.96,1.94 ± 0.09,<0.95,
050401,2.9,,1.86 ± 0.05,4.4,200−2000,WT(1.4),,5.45,1.86 ± 0.05,22.4,
050416A,0.654,,1.97 ± 0.10,2.45,400−3 × 105,PC(92.3),,2.67,1.97 ± 0.10,8.0,
050525A,0.606,,1.97 ± 0.16,9.08,6000−3 × 105,PC(18.7),,12.6,1.96 ± 0.16,1.5,
050802,1.71,,1.80 ± 0.11,1.85,400−2000,PC(1.5),,1.96,1.80 ± 0.11,<2.1,
050922C,2.198,,2.12 ± 0.10,5.4,400−3 × 105,PC(35.1),,7.58,2.14 ± 0.10,<0.69,
060206,4.048,,2.00 ± 0.31,0.93,700−105,PC(4.5),,0.917,1.99 ± 0.30,<19,
060210,3.91,,1.99 ± 0.05,6.08,3000−106,PC(76.8),,8.64,2.00 ± 0.05,24.7,
060306,1.55,,1.77 ± 0.26,3.44,300−925,PC(0.6),,3.84,1.77 ± 0.25,31.0,
060614,0.125,,1.77 ± 0.08,1.88,4400−106,PC(204.3),,1.99,1.77 ± 0.07,<0.20,
060814,1.923,,1.96 ± 0.07,2.33,250−500,WT(0.2),,2.58,1.96 ± 0.07,28.8,
060904A,−,,3.42 ± 0.37,1.33,185−225,WT(0.04),,1.39,3.42 ± 0.37,>2.85,
060908,1.884,,2.07 ± 0.19,2.35,200−105,PC(11.6),,2.55,2.07 ± 0.19,9.6,
060912A,0.94,,1.92 ± 0.18,3.85,200−2000,PC(1.7),,4.7,1.93 ± 0.18,3.7,
060927,5.467,,1.85 ± 0.20,4.61,100−104,PC(3.5),,5.54,1.86 ± 0.20,<2.5,
061007,1.261,,1.89 ± 0.02,1.77,90−2000,WT(1.9),,1.89,1.89 ± 0.02,6.65,
061021,0.346,,1.89 ± 0.06,4.53,3000−3 × 105,PC(83.1),,5.53,1.89 ± 0.09,0.56,
061121,1.314,,1.80 ± 0.06,4,600−3 × 105,PC(43.1),,4.63,1.80 ± 0.06,7.1,
061222A,2.088,,1.99 ± 0.09,9.02,3 × 104−2 × 105,PC(49.5),,12.6,2.00 ± 0.09,65.5,
070306,1.496,,1.77 ± 0.11,2.85,104−4 × 104,PC(6.0),,3.13,1.77 ± 0.11,34.8,
070328,2.063,,2.05 ± 0.04,2.61,350−1000,WT(0.7),,2.88,2.05 ± 0.04,27.6,
070521,2.087,,1.70 ± 0.19,2.92,3000−104,PC(1.9),,3.24,1.70 ± 0.19,164.0,
071020,2.146,,1.78 ± 0.07,5.12,70−300,WT(0.2),,6.25,1.79 ± 0.07,5.0,
071112C,0.82,,1.73 ± 0.08,7.44,90−280,WT(0.2),,11.1,1.75 ± 0.08,<0.1,
071117,1.33,,1.95 ± 0.18,2.33,2900−6.2 × 104,PC(18.2),,2.52,1.97 ± 0.20,16.8,
080319B,0.937,,1.73 ± 0.02,1.11,800−2000,WT(0.9),,1.15,1.74 ± 0.02,1.58,
080319C,1.95,,1.56 ± 0.10,2.2,200−3 × 105,PC(24.3),,2.39,1.56 ± 0.10,9.7,
080413B,1.1,,1.89 ± 0.08,3.06,6 × 103 − 106,PC(98.5),,3.43,1.89 ± 0.08,3.18,
080430,0.767,,1.96 ± 0.09,0.96,5000−3 × 105,PC(44.6),,0.99,1.96 ± 0.09,5.18,
080602,1.82,,1.91 ± 0.14,3.51,200−800,PC(0.6),,4,1.91 ± 0.14,15.3,
080603B,2.69,,1.79 ± 0.10,1.24,100−250,WT(0.2),,1.27,1.79 ± 0.10,10.1,
080605,1.64,,1.66 ± 0.04,6.67,100−800,WT(0.6),,10.2,1.67 ± 0.04,8.4,
080607,3.036,,2.04 ± 0.12,1.69,4000−6 × 104,PC(19.7),,1.82,2.04 ± 0.12,35.9,
080613B,−,≷ 0.3 b,1.21 ± 0.10,3.17,105−190,WT(0.1),≷ 0.27 b,3.55,1.20 ± 0.11,>0.27,
080721,2.591,,1.72 ± 0.02,6.95,100−2000,WT(1.3),,9.27,1.73 ± 0.02,6.40,
080804,2.2,,1.73 ± 0.09,1.63,200−3 × 105,PC(41.0),,1.72,1.73 ± 0.09,<2.1,
080916A,0.689,,2.09 ± 0.26,1.84,2 × 104 − 106,PC(110.2),,1.95,2.04 ± 0.18,9.9,
081007,0.53,,1.94 ± 0.16,1.37,5000−4 × 105,PC(46.9),,1.44,1.94 ± 0.16,6.9,
081121,2.512,,1.85 ± 0.07,4.03,3000−2 × 106,PC(128.0),,4.75,1.85 ± 0.07,3.9,
081203A,2.1,,1.69 ± 0.05,1.71,200−600,WT(0.4),,1.81,1.69 ± 0.05,3.5,
081221,2.26,,1.96 ± 0.09,2.03,300−500,WT(0.2),,2.17,1.96 ± 0.09,33.9,
081222,2.77,,1.93 ± 0.04,2.23,60−1000,WT(0.8),,2.37,1.93 ± 0.04,4.5,
090102,1.547,,1.66 ± 0.08,4.05,700−7 × 104,PC(19.3),,4.69,1.67 ± 0.08,7.8,
090201,2.1,,1.81 ± 0.14,4.94,3000−6000,"WT,(0.2)",,6.11,1.81 ± 0.15,99.0,
090424,0.544,,1.95 ± 0.08,1.86,2000−3 × 106,PC(213.1),,2.02,1.95 ± 0.08,6.55,
090709 A,1.8,,1.84 ± 0.11,6.62,4000−1.5 × 104,PC(4.4),,8.44,1.84 ± 0.11,27.7,
090715B,3,,1.92 ± 0.12,1.34,4000−105,PC(28.8),,1.4,1.92 ± 0.12,11.6,
090812,2.452,,2.08 ± 0.24,2.26,104−7 × 104,PC(8.6),,2.47,2.07 ± 0.24,20.1,
090926B,1.24,,1.88 ± 0.08,1.92,130−300,WT(0.2),,2.02,1.88 ± 0.08,21.9,
091018,0.971,,1.76 ± 0.11,2.81,150−1000,PC(0.9),,3.07,1.76 ± 0.11,1.6,
091020,1.71,,1.78 ± 0.10,1.39,200−400,WT(0.2),,1.45,1.78 ± 0.10,6.0,
091127,0.49,,1.77 ± 0.12,2.81,6000−2 × 104,PC(1.6),,3.11,1.74 ± 0.11,1.08,
091208B,1.06,,2.05 ± 0.25,4.86,200−600,PC(0.4),,5.75,2.06 ± 0.25,11.6,
100615 A,1.398,,2.25 ± 0.34,3.28,200−2000,PC(1.4),,3.74,2.25 ± 0.34,176.0,
100621A,0.542,,2.67 ± 0.09,2.89,130−200,WT(0.1),,3.19,2.68 ± 0.09,23.8,
100728B,2.106,,1.98 ± 0.19,6.17,4000−3 × 104,PC(8.5),,7.93,1.99 ± 0.19,7.1,
110205A,2.22,,2.02 ± 0.11,1.61,5000−5 × 104,PC(18.8),,1.7,2.02 ± 0.11,5.5,
110503A,1.613,,1.71 ± 0.05,2.63,200−700,WT(0.5),,2.84,1.71 ± 0.05,1.51,
110709A,−,,1.92 ± 0.12,1.54,600−9000,PC(3.9),,1.61,1.93 ± 0.13,>10.7,
110709B,<4,,2.04 ± 0.06,5.58,104−2 × 105,PC(45.6),,6.91,2.04 ± 0.06,>1.37,
110915A,−,,1.90 ± 0.25,1.61,5000−8000,PC(1.5),,6.67,1.90 ± 0.25,>1.95,
111008A,4.99,,1.81 ± 0.10,0.98,5000−3 × 104,PC(4.8),,0.992,1.81 ± 0.10,20.0,
111228A,0.714,,2.05 ± 0.09,2.96,4000−2 × 106,PC(144.8),,3.25,2.05 ± 0.08,6.4,
120102A,−,,1.91 ± 0.08,10.3,4000−7 × 104,PC(18.1),,14.7,1.91 ± 0.08,>1.98,
120116A,−,,1.94 ± 0.23,4.64,300−6000,PC(1.5),,5.53,1.94 ± 0.23,>1.24,
120119A,1.728,,1.65 ± 0.13,7.91,7000−2 × 105,PC(18.9),,11.3,1.67 ± 0.13,24.0,
120326A,1.798,,1.79 ± 0.06,5.24,4000−105,PC(21.4),,6.26,1.80 ± 0.06,6.2,
120703A,−,,1.82 ± 0.14,1.21,3000−5 × 104,PC(9.8),,1.27,1.78 ± 0.13,>1.58,
120729A,0.8,,1.68 ± 0.13,14.2,300−7000,PC(2.8),,21.5,1.70 ± 0.13,<1.1,
120802A,3.796,,1.83 ± 0.17,9.65,100−1.5 × 104,PC(5.1),,14.6,1.87 ± 0.17,>5.5,
120811C,2.671,,1.58 ± 0.15,2.09,200−1100,PC(0.9),,2.23,1.58 ± 0.15,<5.4,
120907A,0.97,,1.81 ± 0.13,5.35,280−8000,PC(3.2),,7.26,1.82 ± 0.13,3.4,
121123A,2.7,,1.82 ± 0.10,4.01,4500−42000,PC(14.9),,,1.82 ± 0.10,7.37,
121125A,−,,2.04 ± 0.12,1.27,4000−3.5 × 104,PC(13.2),,1.32,2.04 ± 0.12,>1.15,
121209A,2.1,,1.79 ± 0.25,3.81,5000−7000,PC(1.4),,4.4,1.79 ± 0.25,111.0,
130420A,1.297,,2.16 ± 0.10,1.26,1000−2 × 105,PC(35.5),,1.3,2.16 ± 0.10,4.6,
130427A,0.34,,1.68 ± 0.04,1.8,2 × 104−2.5 × 106,PC(165.0),,1.91,1.68 ± 0.04,1.06,
130427B,2.78,,1.71 ± 0.19,4.4,200−2 × 104,PC(5.3),,5.35,1.71 ± 0.19,<5.4,
130502A,−,,2.05 ± 0.30,2.49,100−104,PC(1.7),,2.73,2.05 ± 0.30,>1.79,
130505A,2.27,,1.77 ± 0.05,3.59,3000−105,PC(16.3),,4.03,1.77 ± 0.05,8.6,
130527A,−,,1.46 ± 0.17,3.73,450−2000,PC(1.2),,4.34,1.46 ± 0.17,>1.32,
130606A,5.913,,1.87 ± 0.13,1.98,5000−6 × 104,PC(16.5),,2.14,1.87 ± 0.13,<15.0,
130609B,−,,1.87 ± 0.12,1.45,5000−8000,PC(2.4),,1.51,1.87 ± 0.12,>1.30,
130701A,1.155,,1.77 ± 0.14,6.93,1850−3.5 × 104,PC(6.6),,9.2,1.78 ± 0.14,<1.6,
130803A,−,,2.67 ± 0.31,4.15,4000−6 × 104,PC(11.3),,5.12,2.68 ± 0.31,>14.0,
130831A,0.479,,1.74 ± 0.14,4.8,11 000−1.2 × 105,PC(11.5),,5.74,1.71 ± 0.14,<0.51,
130907A,1.238,,1.82 ± 0.04,0.997,7000−1.5 × 105,PC(37.3),,1.03,1.82 ± 0.04,10.84,
131030A,1.293,,1.92 ± 0.10,4.7,4000−90 000,PC(9.6),,5.62,1.92 ± 0.10,4.0,
131105A,1.686,,1.83 ± 0.21,2.91,350−1100,PC(0.8),,3.25,1.83 ± 0.21,16.0,
140102A,−,,1.77 ± 0.07,2.71,950−2300,WT(1.3),,3.04,1.77 ± 0.07,>0.68,
140206A,2.73,,1.81 ± 0.06,4.79,104 − 105,PC(22.7),,6.99,1.83 ± 0.06,16.4,
140215A,−,,1.65 ± 0.23,9.71,300−700,PC(0.4),,13.1,1.65 ± 0.23,>1.08,
140419A,3.956,,1.83 ± 0.07,3.53,1500−20 000,PC(7.8),,3.93,1.84 ± 0.07,15.1,
140506A,0.889,,1.77 ± 0.08,7.67,5000−105,PC(18.9),,10.6,1.78 ± 0.08,7.7,
140512A,0.725,,1.81 ± 0.06,9.43,4500−7 × 104,PC(15.0),,14.7,1.83 ± 0.06,1.80,
140619A,−,,2.09 ± 0.15,1.58,1700−25 000,PC(6.2),,1.65,2.09 ± 0.15,>2.25,
140628A,−,,1.86 ± 0.20,2.92,750−2.2 × 104,PC(6.9),,3.22,1.86 ± 0.20,>0.47,
140629A,2.275,,1.92 ± 0.12,0.909,4000−1.5 × 104,PC(5.1),,0.932,1.91 ± 0.12,5.5,
140703A,3.14,,1.80 ± 0.09,9.36,3800−7 × 104,PC(11.9),,12.8,1.82 ± 0.09,<6.0,